Date;Type;Index;Volume;Energie
14/03/22;Index réel;1560;292;3330.55
17/06/21;Index réel;1268;14;161
01/06/21;Index réel;1254;1;11
31/05/21;Index réel;1253;52;578
01/05/21;Index réel;1201;3;33
30/04/21;Index réel;1198;72;827
01/04/21;Index réel;1126;0;0
31/03/21;Index réel;1126;67;770
01/03/21;Index réel;1059;3;34
28/02/21;Index réel;1056;82;949
01/02/21;Index réel;974;4;46
31/01/21;Index réel;970;111;1269
01/01/21;Index réel;859;0;0
31/12/20;Index réel;859;53;608
01/12/20;Index réel;806;2;23
30/11/20;Index réel;804;83;955
01/11/20;Index réel;721;4;46
31/10/20;Index réel;717;87;994
01/10/20;Index réel;630;1;11
30/09/20;Index réel;629;20;229
01/09/20;Index réel;609;0;0
31/08/20;Index réel;609;13;151
01/08/20;Index réel;596;1;12
31/07/20;Index réel;595;20;232
01/07/20;Index réel;575;0;0
30/06/20;Index réel;575;21;239
01/06/20;Index réel;554;0;0
31/05/20;Index réel;554;28;321
01/05/20;Index réel;526;1;11
30/04/20;Index réel;525;49;562
01/04/20;Index réel;476;5;57
31/03/20;Index réel;471;110;1262
01/03/20;Index réel;361;4;46
29/02/20;Index réel;357;86;1003
01/02/20;Index réel;271;3;35
31/01/20;Index réel;268;106;1212
01/01/20;Index réel;162;0;0
31/12/19;Index réel;162;50;562
01/12/19;Index réel;112;4;45
30/11/19;Index réel;108;86;971
01/11/19;Index réel;22;0;0
31/10/19;Index réel;22;1;11
30/10/19;Index réel;21;20;230
